File,Stato,Totale feature,Feature invalide
C679_CICONIO_ple.gml,Valido,1870,0
C680_CIGLIANO_ple.gml,Valido,10203,0
C681_CIGLIE_ple.gml,Valido,3161,0
C701_CINAGLIO_ple.gml,Valido,3421,0
C711_CINTANO_ple.gml,Valido,4356,0
C715_CINZANO_ple.gml,Valido,2717,0
C722_CIRIE`_ple.gml,Valido,12766,0
C738_CISSONE_ple.gml,Valido,2508,0
C739_CISTERNA D`ASTI_ple.gml,Valido,8892,0
C757_CIVIASCO_ple.gml,Valido,3337,0
C792_CLAVESANA_ple.gml,Contiene geometrie invalide,6483,1
C793_CLAVIERE_ple.gml,Valido,668,0
C801_COASSOLO TORINESE_ple.gml,Valido,24568,0
C803_COAZZE_ple.gml,Valido,25198,0
C804_COAZZOLO_ple.gml,Valido,1717,0
C807_COCCONATO_ple.gml,Valido,8417,0
C819_COGGIOLA_ple.gml,Contiene geometrie invalide,10709,1
C829_COLAZZA_ple.gml,Valido,2588,0
C860_COLLEGNO_ple.gml,Valido,8844,0
C867_COLLERETTO CASTELNUOVO_ple.gml,Valido,5288,0
C868_COLLERETTO GIACOSA_ple.gml,Valido,3751,0
C884_COLLOBIANO_ple.gml,Valido,572,0
C926_COMIGNAGO_ple.gml,Valido,2894,0
C955_CONDOVE_ple.gml,Valido,40728,0
C962_CONIOLO_ple.gml,Valido,2999,0
C977_CONZANO_ple.gml,Valido,4028,0
D008_CORIO_ple.gml,Valido,33763,0
D022_CORNELIANO D`ALBA_ple.gml,Valido,6322,0
D046_CORSIONE_ple.gml,Valido,2708,0
D050_CORTANDONE_ple.gml,Valido,2239,0
D051_CORTANZE_ple.gml,Valido,2189,0
D052_CORTAZZONE_ple.gml,Valido,6139,0
D062_CORTEMILIA_ple.gml,Valido,8736,0
D072_CORTIGLIONE_ple.gml,Valido,4273,0
D092_COSSANO CANAVESE_ple.gml,Valido,3337,0
D093_COSSANO BELBO_ple.gml,Valido,8341,0
D094_COSSATO_ple.gml,Valido,18025,0
D099_COSSOGNO_ple.gml,Valido,16523,0
D101_COSSOMBRATO_ple.gml,Valido,2936,0
D102_COSTA VESCOVATO_ple.gml,Valido,3015,0
D113_COSTANZANA_ple.gml,Valido,3651,0
D119_COSTIGLIOLE D`ASTI_ple.gml,Contiene geometrie invalide,17591,1
D120_COSTIGLIOLE SALUZZO_ple.gml,Contiene geometrie invalide,5337,1
D132_CRAVAGLIANA_ple.gml,Valido,13053,0
D133_CRAVANZANA_ple.gml,Valido,4226,0
D134_CRAVEGGIA_ple.gml,Valido,8863,0
D149_CREMOLINO_ple.gml,Valido,4986,0
D154_CRESCENTINO_ple.gml,Valido,10769,0
D162_CRESSA_ple.gml,Valido,3715,0
D165_CREVACUORE_ple.gml,Valido,3908,0
D168_CREVOLADOSSOLA_ple.gml,Valido,23009,0
D172_CRISSOLO_ple.gml,Valido,20809,0
D177_CRODO_ple.gml,Valido,24611,0
D187_CROVA_ple.gml,Valido,1200,0
D197_CUCEGLIO_ple.gml,Valido,6464,0
D202_CUMIANA_ple.gml,Valido,27251,0
D205_CUNEO_ple.gml,Valido,36753,0
D207_CUNICO_ple.gml,Contiene geometrie invalide,3414,1
D208_CUORGNE`_ple.gml,Valido,22976,0
D216_CUREGGIO_ple.gml,Valido,6909,0
D219_CURINO_ple.gml,Valido,28663,0
D271_DEMONTE_ple.gml,Valido,28353,0
D272_DENICE_ple.gml,Valido,2135,0
D277_DERNICE_ple.gml,Valido,6672,0
D281_DESANA_ple.gml,Valido,3324,0
D291_DIANO D`ALBA_ple.gml,Valido,9871,0
D309_DIVIGNANO_ple.gml,Valido,2874,0
D314_DOGLIANI_ple.gml,Valido,15066,0
D332_DOMODOSSOLA_ple.gml,Contiene geometrie invalide,30913,5
D339_DONATO_ple.gml,Valido,4853,0
D347_DORMELLETTO_ple.gml,Valido,3194,0
D350_DORZANO_ple.gml,Valido,2356,0
D372_DRONERO_ple.gml,Valido,22306,0
D373_DRUENTO_ple.gml,Valido,6872,0
D374_DRUOGNO_ple.gml,Valido,14999,0
D388_DUSINO SAN MICHELE_ple.gml,Valido,4690,0
D401_ELVA_ple.gml,Valido,6073,0
D410_ENTRACQUE_ple.gml,Valido,10267,0
D412_ENVIE_ple.gml,Valido,7332,0
D433_EXILLES_ple.gml,Valido,19405,0
D447_FABBRICA CURONE_ple.gml,Valido,33224,0
D492_FARA NOVARESE_ple.gml,Contiene geometrie invalide,7474,1
D499_FARIGLIANO_ple.gml,Valido,9478,0
D511_FAULE_ple.gml,Valido,1642,0
D520_FAVRIA_ple.gml,Valido,6699,0
D523_FEISOGLIO_ple.gml,Valido,3496,0
D524_FELETTO_ple.gml,Valido,5157,0
D528_FELIZZANO_ple.gml,Contiene geometrie invalide,8877,2
D532_FENESTRELLE_ple.gml,Valido,16423,0
D553_MONCENISIO_ple.gml,Valido,1475,0
D554_FERRERE_ple.gml,Valido,7375,0
D559_FRACONALTO_ple.gml,Valido,3894,0
D562_FIANO_ple.gml,Valido,7855,0
D608_FIORANO CANAVESE_ple.gml,Valido,5839,0
D641_FOBELLO_ple.gml,Valido,7457,0
D646_FOGLIZZO_ple.gml,Valido,7694,0
D675_FONTANETO D`AGOGNA_ple.gml,Contiene geometrie invalide,14726,1
D676_FONTANETTO PO_ple.gml,Valido,6548,0
D678_FONTANILE_ple.gml,Valido,2797,0
D706_FORMAZZA_ple.gml,Contiene geometrie invalide,9074,3
D712_FORMIGLIANA_ple.gml,Contiene geometrie invalide,1817,1
D725_FORNO CANAVESE_ple.gml,Valido,16832,0
D742_FOSSANO_ple.gml,Valido,25455,0
D751_FRABOSA SOPRANA_ple.gml,Valido,15442,0
D752_FRABOSA SOTTANA_ple.gml,Valido,10250,0
D759_FRANCAVILLA BISIO_ple.gml,Valido,1846,0
D770_FRASCARO_ple.gml,Valido,1799,0
D777_FRASSINELLO MONFERRATO_ple.gml,Valido,3072,0
D780_FRASSINETO PO_ple.gml,Valido,6412,0
D781_FRASSINETTO_ple.gml,Contiene geometrie invalide,14098,1
D782_FRASSINO_ple.gml,Valido,11463,0
D797_FRESONARA_ple.gml,Valido,2795,0
D802_FRINCO_ple.gml,Valido,4332,0
D805_FRONT_ple.gml,Valido,8115,0
D812_FROSSASCO_ple.gml,Valido,7340,0
D813_FRUGAROLO_ple.gml,Valido,5323,0
D814_FUBINE_ple.gml,Valido,8723,0
D835_GABIANO_ple.gml,Valido,7693,0
D848_GAGLIANICO_ple.gml,Valido,3233,0
D856_GAIOLA_ple.gml,Valido,3149,0
D872_GALLIATE_ple.gml,Contiene geometrie invalide,23069,1
D890_GAMALERO_ple.gml,Valido,3915,0
D894_GAMBASCA_ple.gml,Valido,3103,0
D910_GARBAGNA_ple.gml,Valido,7204,0
D911_GARBAGNA NOVARESE_ple.gml,Valido,1683,0
D920_GARESSIO_ple.gml,Valido,35882,0
D921_GARGALLO_ple.gml,Valido,3571,0
D931_GARZIGLIANA_ple.gml,Valido,2676,0
D933_GASSINO TORINESE_ple.gml,Valido,10195,0
D938_GATTINARA_ple.gml,Valido,27112,0
D944_GAVI_ple.gml,Contiene geometrie invalide,17504,2
D967_GENOLA_ple.gml,Valido,2951,0
D983_GERMAGNANO_ple.gml,Valido,5817,0
D984_GERMAGNO_ple.gml,Valido,2006,0
E001_GHEMME_ple.gml,Valido,13602,0
E003_GHIFFA_ple.gml,Valido,6197,0
E007_GHISLARENGO_ple.gml,Valido,4616,0
E009_GIAGLIONE_ple.gml,Valido,15654,0
E015_GIAROLE_ple.gml,Valido,1231,0
E020_GIAVENO_ple.gml,Contiene geometrie invalide,43291,1
E024_GIFFLENGA_ple.gml,Valido,878,0
E028_GIGNESE_ple.gml,Valido,6151,0
E067_GIVOLETTO_ple.gml,Valido,5666,0
E111_GORZEGNO_ple.gml,Valido,5211,0
E115_GOTTASECCA_ple.gml,Valido,4891,0
E118_GOVONE_ple.gml,Valido,10405,0
E120_GOZZANO_ple.gml,Valido,9048,0
E130_GRAGLIA_ple.gml,Contiene geometrie invalide,7969,2
E134_GRANA_ple.gml,Valido,3227,0
E143_GRANOZZO CON MONTICELLO_ple.gml,Valido,3147,0
E153_GRAVELLONA TOCE_ple.gml,Valido,7404,0
E154_GRAVERE_ple.gml,Valido,14687,0
E159_GRAZZANO BADOGLIO_ple.gml,Valido,3909,0
E163_GREGGIO_ple.gml,Valido,2620,0
E164_GREMIASCO_ple.gml,Valido,7094,0
E177_GRIGNASCO_ple.gml,Valido,11327,0
E182_GRINZANE CAVOUR_ple.gml,Valido,2115,0
E188_GROGNARDO_ple.gml,Valido,4193,0
E191_GRONDONA_ple.gml,Contiene geometrie invalide,11368,1
E199_GROSCAVALLO_ple.gml,Valido,7374,0
E203_GROSSO_ple.gml,Valido,4138,0
E216_GRUGLIASCO_ple.gml,Valido,7203,0
E237_GUARDABOSONE_ple.gml,Valido,5096,0
E251_GUARENE_ple.gml,Valido,8132,0
E255_GUAZZORA_ple.gml,Valido,900,0
E269_GURRO_ple.gml,Valido,7733,0
E282_IGLIANO_ple.gml,Valido,1899,0
E295_INCISA SCAPACCINO_ple.gml,Valido,9764,0
E301_INGRIA_ple.gml,Valido,9980,0
E304_INTRAGNA_ple.gml,Valido,12018,0
E311_INVERSO PINASCA_ple.gml,Valido,6453,0
E314_INVORIO_ple.gml,Contiene geometrie invalide,15113,1
